"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 17 17:39:52 UTC 2021","Fri Sep 17 17:39:54 UTC 2021","1465","","My Login application Test","","My Login application Test","should login with valid credentials","should login with valid credentials",""
"passed","Fri Sep 17 11:59:52 UTC 2021","Fri Sep 17 11:59:57 UTC 2021","4827","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
