"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 16 11:08:38 UTC 2021","Thu Sep 16 11:08:43 UTC 2021","4944","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
"passed","Thu Sep 16 13:11:28 UTC 2021","Thu Sep 16 13:11:30 UTC 2021","1725","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
